ID,data_point,confidence,text,function,pronoun,ppron,i,we,you,shehe,they,youpl,ipron,prep,auxverb,adverb,conj,negate,quanunit,prepend,specart,particle,modal_pa,general_pa,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,tensem,focuspast,focuspresent,focusfuture,progm,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,WC,Self_Reference,Negative_Emotion
29,1.1,,啊今日都系正常咁樣翻工啦，所以就六點幾起咗身咁誒起身嗰時候都幾精神，所以個心情咧，都系誒幾好咁啊，今朝誒翻嚟就處理咗啲誒email啦，咁啊，變咗個工作上邊咧就誒都叫做順利嘅，因為咧就都系處理緊誒日常嘅嘢，哎呀撈亂咗添。就今朝起身個心情就幾好，咁啊跟住就食早餐翻工，冇乜特別咁啊，頭先頭先嗰個隔咗一陣咁啊，開始開工去處理啲email咁啊，頭先個心情嚟嘅咁啊，因為今今日啲同事咧，大部分咧都系翻誒誒誒，我哋叫中間啊，即系佢下晝先翻咁，我上晝咧，就有啲誒私人時間咧，可以處理啲。誒誒即刻做嘅email啦，咁啊，變咗就都都算系幾好咁樣。,36.36,1.3,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,12.99,2.6,0.0,3.9,1.95,0.0,12.34,12.34,0.0,5.84,0.0,5.19,1.95,4.55,1.3,0.0,0.0,0.0,0.0,3.25,0.0,0.65,0.0,0.0,8.44,0.0,3.25,1.3,1.3,0.65,0.0,0.0,0.0,0.0,0.0,1.95,1.3,0.0,0.0,1.3,2.6,0.65,1.3,0.65,0.0,0.0,1.95,0.0,1.95,0.0,0.0,18.83,4.55,1.95,12.99,3.25,0.0,0.0,0.0,0.0,0.0,12.99,0.0,0.0,5.84,5.19,7.14,154,1.3,0.0
29,1.2,,咁而家就開始忙啦，因為啲同事都翻咗嚟啦，咁就變咗要安排佢哋啲工作啊，誒加班之前做咗啲嘢，所以就比較緊張啲，咁最主要開咗個短會啦，咁啊同老闆傾咗啲未來嘅安排啦，咁啊，同埋就係就住工作裏邊咧，有啲誒複合嘅工作做咗。,36.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,10.77,4.62,0.0,3.08,3.08,1.54,10.77,10.77,0.0,6.15,0.0,1.54,0.0,1.54,0.0,1.54,1.54,0.0,0.0,1.54,0.0,1.54,0.0,0.0,13.85,0.0,6.15,1.54,1.54,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77,3.08,4.62,3.08,0.0,0.0,3.08,1.54,0.0,1.54,0.0,16.92,1.54,1.54,13.85,13.85,0.0,1.54,1.54,0.0,0.0,9.23,0.0,0.0,3.08,3.08,6.15,65,0.0,1.54
29,1.3,,得車家好凍，而家坐緊車誒收工，坐緊車翻屋企應該都冇眼瞓陣間瞓覺。,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,9.09,4.55,0.0,4.55,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,0.0,4.55,4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,4.55,4.55,0.0,4.55,13.64,0.0,0.0,13.64,0.0,0.0,0.0,0.0,0.0,9.09,4.55,0.0,0.0,4.55,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,4.55,0.0,0.0,0.0,4.55,0.0,0.0,4.55,0.0,0.0,22,0.0,0.0
29,1.4,,一翻到屋企就休息緊，睇緊電視咁好平靜，誒心情冇乜嘢咁，最主要都系夜晚放工翻到屋企就食飯啦，跟住休息咗一陣就走咗去沖涼啦，咁衝完涼又休息一陣，而家就睇緊電視陣間就會瞓覺啦。,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,1.82,20.0,1.82,0.0,5.45,0.0,0.0,5.45,5.45,0.0,3.64,0.0,5.45,0.0,5.45,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.27,0.0,1.82,1.82,1.82,0.0,1.82,3.64,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,5.45,1.82,0.0,1.82,1.82,0.0,0.0,0.0,0.0,0.0,0.0,18.18,5.45,0.0,10.91,1.82,9.09,5.45,0.0,0.0,0.0,10.91,0.0,0.0,1.82,0.0,9.09,55,0.0,0.0
29,2.1,,誒我而家個心情咧，都繫好平靜啦，咁啊今日冇乜特別嘅事發生，不過下晝呢個工作安排，晝會比較緊密，啲，咁啊，而家就處理緊下晝嗰個工作安排，咁啊上晝都系同琴日一樣啦，啲同事就翻中班佢晏啲先翻，我有一個上晝去清嘅，咁啊今日系第二日清嘅，所以就再輕鬆好多咁最主要就。安排緊嚟緊九月嘅工作啦，做緊啲schedule俾老闆啦，咁啊今朝就有啲緊張咧，就係安排咗一個return俾老闆嗰個return就比較急，嘅咁，不過都順利過咗噶啦。,37.9,2.42,1.61,1.61,0.0,0.0,0.0,0.0,0.0,0.81,0.0,1.61,13.71,4.03,1.61,7.26,0.0,0.81,8.06,8.06,0.0,6.45,0.0,7.26,0.81,4.84,3.23,0.81,0.81,0.0,0.0,0.81,0.0,0.81,0.0,0.0,11.29,0.0,1.61,0.81,0.81,0.81,3.23,2.42,0.0,0.0,1.61,0.0,0.0,0.0,0.0,0.0,8.87,2.42,3.23,2.42,0.81,0.0,1.61,0.0,1.61,0.0,0.0,16.94,2.42,0.81,12.9,9.68,0.81,1.61,0.0,0.0,0.0,8.87,0.0,0.0,3.23,2.42,5.65,124,1.61,0.81
29,2.3,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
29,2.4,,而家都差唔多到到12點啦，咁就都想安排瞓覺咁樣啊，就有啲攰啦，個人咁就個心情都系。誒麻麻啦，咁啊，咁好讀咁就而家就食咗飯啦，咁啊衝咗涼啦，咁跟住就誒拉下筋啦，咁啊，因為個腳爭痛咁啊，咁都冇咩嘢做，不過跟住就屋企就有啲事。發生咗要處理咁樣就都都麻煩嘢咁樣啲拗撬嚟咁樣。,46.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,5.0,18.75,3.75,1.25,3.75,0.0,0.0,10.0,10.0,0.0,7.5,0.0,3.75,0.0,5.0,0.0,2.5,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,8.75,1.25,1.25,2.5,1.25,0.0,2.5,1.25,0.0,0.0,1.25,2.5,1.25,1.25,0.0,0.0,2.5,1.25,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,17.5,5.0,0.0,12.5,2.5,0.0,1.25,0.0,0.0,0.0,13.75,0.0,0.0,2.5,2.5,11.25,80,0.0,2.5
29,3.1,,而家個心情就好平靜啦，冇乜特別嘢啦，都系繼續工作啦，咁啊，今朝啲同事翻咗嚟都有啲活天嘢跟緊咁樣，咁呢段時間就之前就用咗個幾鐘頭去抽血啦，咁啊睇下個身體個情況啦，咁嚟緊就會有複診啦，咁啊基本工作就做緊啦，冇乜特別嘢。,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,12.7,1.59,0.0,9.52,3.17,0.0,12.7,12.7,0.0,6.35,0.0,7.94,1.59,4.76,3.17,0.0,0.0,0.0,0.0,1.59,0.0,1.59,0.0,0.0,7.94,0.0,1.59,1.59,0.0,3.17,1.59,1.59,0.0,0.0,0.0,3.17,1.59,3.17,0.0,0.0,9.52,3.17,3.17,1.59,1.59,0.0,1.59,1.59,0.0,0.0,0.0,22.22,3.17,4.76,17.46,6.35,0.0,1.59,0.0,0.0,0.0,11.11,0.0,0.0,3.17,1.59,7.94,63,0.0,0.0
29,3.2,,心情都繫好平靜，就都系繼續今日嘅工作冇乜特別嘅嘢。,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,12.5,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,0.0,6.25,0.0,6.25,0.0,0.0,25.0,0.0,0.0,25.0,18.75,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,6.25,16,0.0,0.0
29,3.3,,而家嘅心情都繫有啲憤怒唔開心，因為咧，見到咧個仔咧，都系咧唔系咁乖咁誒。由下晝到而家咧就誒都系同事同同啲同事開咗個小會啦，嚇，做啲motivation啦，咁希望喺佢哋未來工作裏邊咧，都系繼續加油啦，咁啊，繼續誒跟翻嗰個誒工作你要做。不過嚟緊就真系誒辛苦啲嘅知道佢哋咁都瞭解咗佢哋工作嗰個情況啦，咁跟住誒。晏啲就搭車翻嚟啦，放工咁我都走啦，因為我聽日都要當班啦，因為星期六都要翻工，聽日我咁，所以就誒臨走之前安排咗少少星期六要做嘅嘢咯。,39.13,2.9,2.9,2.17,0.0,0.72,0.0,0.0,0.0,0.0,2.17,2.9,8.7,5.07,0.72,5.8,0.72,0.72,10.14,10.14,0.0,7.25,0.0,2.9,0.0,2.9,0.72,1.45,0.72,0.72,0.0,4.35,0.0,1.45,0.0,0.0,10.87,1.45,2.9,3.62,0.72,0.0,2.17,1.45,0.0,1.45,0.0,0.0,0.0,0.0,0.0,0.0,5.07,2.9,2.17,0.0,0.0,0.0,2.17,0.72,0.0,1.45,0.0,15.22,4.35,1.45,10.87,7.97,0.0,1.45,0.0,0.0,0.0,5.07,0.0,0.0,1.45,0.72,3.62,138,2.17,1.45
